thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.017592592592592594],[-0.46574074074074073],[1],[0],[0],[2.000617300160229],['target'],0,0,0,0,0.04095289995893836,,5,0.02856130013242364,0.04095289995893836,0.04095289995893836,0.028312399983406067,2.029754400253296,[-0.017592592592592594],[-0.46574074074074073],[1],[0],[0],[2.000617300160229],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
1,0,1,[-0.44537037037037036],[-0.22592592592592592],[1],[0],[0],[2.0577457998879254],['target'],1,0,1,0,2.073522000107914,,10,2.0593389002606273,2.073522000107914,2.073522000107914,0.029450099915266037,4.117528000380844,[-0.44537037037037036],[-0.22592592592592592],[1],[0],[0],[2.0577457998879254],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
2,0,2,[-0.3435185185185185],[-0.2935185185185185],[1],[0],[0],[1.4249630998820066],['target'],2,0,2,0,4.161202900111675,,10,4.145893500186503,4.161202900111675,4.161202900111675,0.028198599815368652,5.57131540030241,[-0.3435185185185185],[-0.2935185185185185],[1],[0],[0],[1.4249630998820066],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
3,0,3,[-0.30462962962962964],[-0.13055555555555556],[1],[0],[0],[2.2514511002227664],['target'],3,0,3,0,5.594590099994093,,5,5.585819800384343,5.594590099994093,5.594590099994093,0.014341199770569801,7.837772900238633,[-0.30462962962962964],[-0.13055555555555556],[1],[0],[0],[2.2514511002227664],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
4,0,4,[-0.22314814814814815],[0.2074074074074074],[1],[0],[0],[1.6733601000159979],['target'],4,0,4,0,7.8815724002197385,,10,7.868379299994558,7.8815724002197385,7.8815724002197385,0.030472599901258945,9.542150200344622,[-0.22314814814814815],[0.2074074074074074],[1],[0],[0],[1.6733601000159979],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
5,0,5,[-0.28055555555555556],[-0.11388888888888889],[1],[0],[0],[2.138825200032443],['target'],5,0,5,0,9.586616100277752,,10,9.573594700079411,9.586616100277752,9.586616100277752,0.031284399796277285,11.71286080032587,[-0.28055555555555556],[-0.11388888888888889],[1],[0],[0],[2.138825200032443],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
6,0,6,[0.12222222222222222],[-0.15185185185185185],[1],[0],[0],[1.9494134997949004],['target'],6,0,6,0,11.739101600367576,,5,11.7300820001401,11.739101600367576,11.739101600367576,0.01700180023908615,13.679967900272459,[0.12222222222222222],[-0.15185185185185185],[1],[0],[0],[1.9494134997949004],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
7,0,7,[0.2851851851851852],[-0.26666666666666666],[1],[0],[0],[2.0189978000707924],['target'],7,0,7,0,13.727252600248903,,10,13.713977900333703,13.727252600248903,13.727252600248903,0.03384640021249652,15.733415900263935,[0.2851851851851852],[-0.26666666666666666],[1],[0],[0],[2.0189978000707924],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
8,0,8,[0.025],[-0.35648148148148145],[1],[0],[0],[1.788716800045222],['target'],8,0,8,0,15.780365200247616,,10,15.766037000343204,15.780365200247616,15.780365200247616,0.03246340015903115,17.55520260008052,[0.025],[-0.35648148148148145],[1],[0],[0],[1.788716800045222],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
9,0,9,[-0.19074074074074074],[-0.4148148148148148],[1],[0],[0],[1.6175509998574853],['target'],9,0,9,0,17.579820500221103,,5,17.569642200134695,17.579820500221103,17.579820500221103,0.014277399983257055,19.18777670012787,[-0.19074074074074074],[-0.4148148148148148],[1],[0],[0],[1.6175509998574853],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
